food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Protein_ratio,Fat_ratio,Carbohydrates_ratio,Calorie_Density,Health_Score,Food_Category
chili with beans canned,287.0,14.1,6.0,6.0,0.9,30.5,3.0,14.6,11.3,43.5,1.3,193.3,0.0,0.1,0.018,0.0,0.3,0.9,3.6,0.3,4.4,0.0,1.3,0.074,120.3,0.3,8.8,115.2,0.3,394.2,934.4,0.018,5.1,204.0,24.66,23.82,51.52,2.87,26.05,High_Carb
black bean soup,234.0,3.4,0.9,1.2,1.1,39.6,6.4,12.4,17.5,0.0,2.5,193.6,0.0,0.1,0.2,0.0,0.1,1.1,0.4,0.2,0.5,0.0,0.9,0.035,90.0,0.8,3.9,84.8,1.3,192.8,642.5,0.0,2.8,167.3,22.38,6.14,71.48,2.34,34.85,High_Carb
split pea soup with ham bacon,189.0,3.1,0.9,1.2,0.6,28.6,0.0,11.6,4.1,4.1,1.0,88.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,49.5,26.79,7.16,66.05,1.89,26.25,High_Carb
chicken broth soup,78.0,2.6,0.8,1.2,0.6,1.9,0.9,11.1,0.0,2.5,1.6,231.7,0.0,0.054,0.092,0.067,0.1,5.6,0.1,0.035,0.0,0.0,0.048,0.0,15.1,0.3,1.0,5.0,0.5,151.2,428.4,0.024,0.5,31.7,71.15,16.67,12.18,0.78,17.8,High_Protein
chicken dumplings soup,235.0,13.4,3.2,6.1,3.2,14.7,1.4,13.6,1.2,80.5,1.8,249.8,0.077,0.074,0.027,0.024,0.2,4.3,0.4,0.037,0.0,0.0,1.3,0.086,35.8,0.3,1.5,8.9,1.2,149.0,283.1,0.048,0.9,80.269,32.61,32.13,35.25,2.35,12.8,Balanced
gazpacho soup,70.0,0.4,0.008,0.059,0.1,6.6,2.2,10.7,0.7,0.0,1.1,346.0,0.0,0.058,0.012,0.0,0.091,1.4,0.3,0.2,10.7,0.0,0.7,0.041,36.9,0.2,1.5,11.1,1.1,55.4,339.5,0.019,0.4,67.5,60.45,2.26,37.29,0.7,17.65,High_Protein
beef mushroom soup,186.0,7.3,3.7,3.1,0.3,15.9,0.0,14.0,0.6,15.3,2.2,260.8,0.0,0.071,0.044,0.035,0.2,2.7,0.6,0.1,0.0,0.0,0.0,0.0,12.2,0.6,2.1,21.4,0.9,88.5,384.3,0.0,3.4,52.1,37.63,19.62,42.74,1.86,21.6,Balanced
chicken rice soup,127.0,3.2,1.0,1.4,0.7,13.0,1.4,12.3,1.0,12.0,0.9,208.3,0.047,0.018,0.074,0.051,0.002,4.1,0.4,0.012,3.8,0.0,0.6,0.084,33.6,0.2,1.9,9.6,0.2,72.0,108.0,0.077,1.0,68.818,43.16,11.23,45.61,1.27,20.1,High_Protein
chicken soup,174.0,6.5,1.9,2.9,1.3,16.9,2.1,12.4,1.5,29.4,0.9,206.1,0.027,0.055,0.072,0.049,0.2,4.3,0.4,0.03,1.2,0.0,0.3,0.085,24.5,0.2,1.7,7.4,0.2,110.3,171.5,0.099,1.0,64.716,34.64,18.16,47.21,1.74,16.35,Balanced
turkey soup,135.0,4.4,1.2,1.8,1.1,14.1,0.0,10.2,0.0,9.4,0.9,203.8,0.0,0.045,0.014,0.079,0.1,3.6,0.9,0.3,6.4,0.0,0.0,0.0,49.6,0.2,1.9,23.6,0.2,103.8,361.1,0.0,2.1,86.6,35.54,15.33,49.13,1.35,16.0,Balanced
chili without beans canned,283.0,17.0,5.4,5.9,1.1,14.6,0.0,18.1,0.0,50.4,0.9,186.4,0.0,0.044,0.0,0.039,0.3,3.0,0.4,0.3,4.3,0.0,0.0,0.0,72.0,0.5,4.8,48.0,0.7,184.8,444.0,0.043,2.7,130.8,36.42,34.21,29.38,2.83,19.2,Balanced
vegetable beef soup,128.0,2.0,0.6,0.7,0.3,9.6,0.0,18.1,4.4,8.8,1.1,258.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,60.94,6.73,32.32,1.28,40.8,High_Protein
crab soup,95.0,0.8,0.2,0.2,0.3,12.5,0.0,10.4,2.4,41.5,0.6,217.4,0.0,0.064,0.07,0.088,0.1,2.5,0.3,0.1,9.3,0.0,0.0,0.041,83.0,0.5,1.9,41.5,0.5,153.7,434.3,0.049,1.9,120.3,43.88,3.38,52.74,0.95,23.6,High_Protein
tripe soup,148.0,5.2,2.1,2.2,0.6,8.1,0.0,17.2,0.0,118.0,0.8,166.8,0.0,0.041,0.0,0.093,0.011,1.0,0.3,0.013,0.0,0.0,0.8,0.031,44.0,0.049,1.4,20.0,0.1,84.0,162.0,0.039,2.1,75.9,56.39,17.05,26.56,1.48,29.2,High_Protein
crispy chicken drumstick kentucky fried chicken,70.0,3.0,0.8,1.2,0.8,0.0,0.0,10.6,0.0,56.2,0.2,26.6,0.025,0.08,0.0,0.08,0.1,2.2,0.5,0.1,0.0,0.0,0.0,0.0,6.6,0.098,0.4,9.4,0.091,91.8,111.9,0.015,1.0,20.632,77.94,22.06,0.0,0.7,18.2,High_Protein
chicken crispy drumsticks kentucky fried chicken,156.0,10.1,2.2,3.4,3.6,4.5,0.0,11.8,0.0,62.1,0.4,29.3,0.071,0.045,0.0,0.028,0.1,2.6,0.6,0.1,0.0,0.0,0.0,0.0,14.3,0.2,0.5,12.0,0.06,112.9,135.1,0.064,1.0,41.248,44.7,38.26,17.05,1.56,13.5,High_Protein
hotdog with chili,296.0,13.4,4.9,6.6,1.2,31.3,0.0,13.5,0.0,51.3,0.5,54.5,0.0,0.2,0.031,0.017,0.4,3.7,0.5,0.003,2.7,0.0,0.0,0.0,19.4,0.1,3.3,10.3,0.1,191.5,166.4,0.038,0.8,83.6,23.2,23.02,53.78,2.96,13.6,High_Carb
crispy chicken wing kentucky fried chicken,104.0,5.3,1.1,1.7,1.8,1.3,0.0,12.6,0.0,64.2,0.3,23.7,0.019,0.029,0.0,0.023,0.032,3.1,0.5,0.2,0.0,0.0,0.0,0.0,13.2,0.006,0.4,11.0,0.085,99.4,116.6,0.033,0.8,32.851,65.63,27.6,6.77,1.04,19.9,High_Protein
crispy chicken breast kentucky fried chicken,214.0,6.7,1.7,2.4,2.3,0.4,0.0,38.2,0.0,121.8,0.7,92.0,0.061,0.049,0.0,0.055,0.2,15.3,2.3,0.6,0.0,0.0,0.0,0.0,28.0,0.008,0.7,39.2,0.092,354.2,432.6,0.042,1.2,74.065,84.33,14.79,0.88,2.14,69.7,High_Protein
crispy chicken thigh kentucky fried chicken,163.0,9.1,2.5,3.8,2.1,0.0,0.0,20.4,0.0,107.4,0.5,59.8,0.078,0.043,0.0,0.057,0.2,4.8,1.2,0.3,0.0,0.0,0.0,0.0,19.1,0.037,0.9,20.0,0.095,202.9,246.6,0.04,1.7,49.591,69.15,30.85,0.0,1.63,31.7,High_Protein
egg mcmuffin mcdonalds,287.0,12.2,4.5,3.4,2.2,27.3,2.7,17.2,1.4,207.9,0.8,66.3,0.1,0.0,0.3,0.038,0.0,0.5,3.9,1.1,0.2,1.5,0.0,0.7,0.0,241.9,0.1,2.9,25.2,0.3,252.0,218.0,0.0,58.5,30.34,21.52,48.15,2.87,18.9,Balanced
veggie burger,124.0,4.4,1.0,1.2,1.4,10.0,0.7,11.0,3.4,3.5,0.4,42.8,0.0,1.9,0.045,0.02,0.2,2.6,0.2,0.2,3.2,0.0,0.2,0.069,95.2,0.1,1.7,39.2,0.7,144.2,233.1,0.017,0.9,128.9,43.31,17.32,39.37,1.24,21.3,High_Protein
cheeseburger,292.0,13.2,6.0,5.1,1.4,28.7,5.9,15.0,1.6,41.4,0.6,55.3,0.5,0.087,0.4,0.083,0.091,0.2,3.5,0.3,1.1,0.7,0.042,0.3,0.04,105.8,0.1,3.2,25.3,0.3,154.1,204.7,0.021,60.289,26.36,23.2,50.44,2.92,7.4,High_Carb
hamburger burger king,258.0,10.4,3.8,4.2,1.2,26.5,5.5,14.7,2.0,34.7,0.5,45.5,0.5,0.0,0.3,0.026,0.0,0.2,3.9,0.2,0.056,0.2,0.0,0.068,0.049,75.2,0.1,2.8,24.8,0.3,124.7,214.8,0.055,54.28,28.49,20.16,51.36,2.58,11.0,High_Carb
hamburger,255.0,9.9,3.5,3.7,1.3,28.7,5.8,12.9,1.7,28.1,0.5,43.5,0.4,0.088,0.3,0.082,0.092,0.2,3.9,0.3,0.1,0.3,0.041,0.053,0.068,112.5,0.027,2.8,21.3,0.2,106.7,191.1,0.017,53.859,25.05,19.22,55.73,2.55,6.85,High_Carb
hamburger mcdonalds,251.0,9.6,3.3,3.6,1.3,28.8,5.7,12.3,1.2,25.7,0.5,42.3,0.4,0.0,0.2,0.03,0.008,0.2,4.3,0.0,0.0,0.6,0.0,0.0,0.0,120.7,0.049,2.7,20.0,0.3,101.7,182.4,0.066,52.357,24.26,18.93,56.8,2.51,5.4,High_Carb
pepperoni pizza pizza hut,269.0,10.9,5.0,3.9,2.0,30.3,3.5,12.3,1.6,25.0,0.8,39.7,0.087,0.3,0.0,0.073,0.3,3.9,0.4,0.1,0.0,0.0,0.7,0.037,148.8,0.038,2.1,22.1,0.4,209.3,198.7,0.021,1.6,206.086,22.99,20.37,56.64,2.69,9.1,High_Carb
cheese pizza pizza hut,260.0,10.5,4.8,2.8,1.8,30.0,3.2,11.5,1.7,23.0,0.7,41.6,0.075,0.3,0.0,0.033,0.2,3.2,0.3,0.1,0.0,0.0,0.7,0.039,200.6,0.003,1.9,21.1,0.3,239.0,166.1,0.022,1.6,256.272,22.12,20.19,57.69,2.6,8.65,High_Carb
cheese pizza,285.0,10.4,4.8,2.8,1.8,35.7,3.8,12.2,2.5,18.2,0.6,46.2,0.3,0.001,0.4,0.014,0.023,0.2,4.1,0.0,0.066,1.5,0.0,0.9,0.082,201.2,0.1,2.7,25.7,0.4,231.1,184.0,0.031,61.304,20.93,17.84,61.23,2.85,10.15,High_Carb
cheese pizza dominos,278.0,9.7,4.4,2.3,2.0,35.9,4.3,11.7,2.4,18.4,0.6,48.5,0.068,0.3,0.0,0.037,0.2,3.6,0.5,0.051,1.0,0.0,1.1,0.028,180.4,0.1,2.5,25.9,0.3,220.3,173.9,0.026,1.3,243.663,20.42,16.93,62.65,2.78,8.7,High_Carb
sucker raw,146.0,3.7,0.7,1.1,1.3,0.0,0.0,26.6,0.0,65.2,0.0,126.7,0.041,0.095,0.028,0.063,0.1,1.9,1.2,0.3,0.0,0.0,0.0,0.0,111.3,0.3,2.1,47.7,1.0,333.9,604.2,0.056,1.2,143.779,87.79,12.21,0.0,1.46,49.5,High_Protein
haddock cooked,135.0,0.8,0.2,0.1,0.3,0.0,0.0,30.0,0.0,99.0,0.4,119.5,0.012,0.099,0.035,0.045,0.1,6.2,0.7,0.5,0.0,0.064,0.8,0.004,21.0,0.042,0.3,39.0,0.06,417.0,526.5,0.055,0.6,52.159,97.4,2.6,0.0,1.35,59.2,High_Protein
burbot cooked,104.0,0.9,0.2,0.2,0.3,0.0,0.0,22.3,0.0,69.3,0.1,66.1,0.071,0.4,0.059,0.087,0.2,1.8,0.2,0.3,0.0,0.0,0.0,0.0,57.6,0.2,1.0,36.9,0.8,230.4,466.2,0.002,0.9,81.891,96.12,3.88,0.0,1.04,43.7,High_Protein
whitefish cooked,265.0,11.6,1.8,3.9,4.2,0.0,0.0,37.7,0.0,118.6,0.1,100.2,0.082,0.3,0.0,0.027,0.2,5.9,1.3,0.5,0.0,0.0,0.0,0.0,50.8,0.1,0.7,64.7,0.1,532.8,625.2,0.08,2.0,100.864,76.47,23.53,0.0,2.65,63.8,High_Protein
walleye pike raw,148.0,1.9,0.4,0.5,0.7,0.0,0.0,30.4,0.0,136.7,0.011,126.1,0.083,0.4,0.032,0.006,0.3,3.7,1.2,0.2,0.0,0.0,0.0,0.0,174.9,0.3,2.1,47.7,1.3,333.9,618.5,0.011,1.0,209.316,94.12,5.88,0.0,1.48,58.9,High_Protein
carp cooked,275.0,12.2,2.4,5.1,3.1,0.0,0.0,38.9,0.0,142.8,0.1,118.4,0.02,0.2,0.056,0.09,0.1,3.6,1.5,0.4,2.7,0.0,0.0,0.0,88.4,0.1,2.7,64.6,0.074,902.7,725.9,0.082,3.2,144.989,76.13,23.87,0.0,2.75,65.6,High_Protein
wolffish cooked,293.0,7.3,1.1,2.6,2.6,0.0,0.0,53.4,0.0,140.4,0.3,176.7,0.3,0.5,0.063,0.08,0.2,6.2,1.6,1.1,0.0,0.0,0.0,0.0,19.0,0.048,0.3,90.4,0.075,609.3,916.3,0.1,2.4,80.3,87.97,12.03,0.0,2.93,99.5,High_Protein
snapper cooked,218.0,2.9,0.6,0.5,1.0,0.0,0.0,44.7,0.0,79.9,0.066,119.6,0.071,0.009,0.094,0.05,0.065,0.6,1.5,0.8,2.7,0.0,0.0,0.0,68.0,0.027,0.4,62.9,0.034,341.7,887.4,0.07,0.7,118.742,93.91,6.09,0.0,2.18,86.5,High_Protein
herring raw,291.0,16.6,3.8,6.9,3.9,0.0,0.0,33.0,0.0,110.4,0.2,132.6,0.027,0.2,0.084,0.016,0.4,5.9,1.2,0.6,1.3,0.005,2.0,0.033,104.9,0.2,2.0,58.9,0.098,434.2,601.7,0.022,1.8,157.898,66.53,33.47,0.0,2.91,49.4,High_Protein
cod raw,189.0,1.5,0.3,0.2,0.5,0.0,0.0,41.1,0.0,99.3,0.1,187.6,0.045,0.2,0.016,0.061,0.2,4.8,0.4,0.6,2.3,0.083,1.5,0.021,37.0,0.023,0.9,73.9,0.013,468.9,954.0,0.096,1.0,82.88,96.48,3.52,0.0,1.89,80.7,High_Protein
tilapia raw,111.0,2.0,0.7,0.6,0.4,0.0,0.0,23.3,0.0,58.0,0.009,90.6,0.0,0.094,0.09,0.02,0.036,4.5,0.6,0.2,0.0,0.019,0.5,0.068,11.6,0.087,0.6,31.3,0.081,197.2,350.3,0.039,0.4,37.5,92.09,7.91,0.0,1.11,44.6,High_Protein
whiting cooked,84.0,1.2,0.3,0.3,0.4,0.0,0.0,16.9,0.0,60.5,0.018,53.8,0.064,0.04,0.075,0.045,0.05,1.2,0.2,0.1,0.0,0.027,0.3,0.075,44.6,0.01,0.3,19.4,0.017,205.2,312.5,0.077,0.4,63.037,93.37,6.63,0.0,0.84,32.6,High_Protein
trout cooked,118.0,5.3,0.9,2.6,1.2,0.0,0.0,16.5,0.0,45.9,0.027,39.3,0.02,0.3,0.019,0.026,0.3,3.6,1.4,0.1,0.3,0.0,0.0,0.0,34.1,0.1,1.2,17.4,0.7,194.7,287.1,0.096,0.5,57.496,75.69,24.31,0.0,1.18,27.7,High_Protein
swordfish raw,196.0,9.0,2.2,4.0,1.6,0.0,0.0,26.7,0.0,89.8,0.1,99.8,0.04,0.1,0.036,0.02,0.071,10.6,0.5,0.7,0.0,0.082,2.7,0.023,6.8,0.051,0.5,39.4,0.059,346.8,568.5,0.021,0.9,43.072,74.79,25.21,0.0,1.96,44.4,High_Protein
rainbow trout cooked,119.0,5.2,1.2,1.7,1.3,0.0,0.0,16.9,0.0,49.7,0.041,48.8,0.09,0.024,0.1,0.035,0.011,0.077,4.7,1.4,0.3,2.1,0.092,2.0,0.003,21.3,0.093,0.3,21.3,0.043,191.7,319.5,0.059,22.557,76.47,23.53,0.0,1.19,28.6,High_Protein
mullet raw,139.0,4.5,1.3,1.3,0.9,0.0,0.0,23.0,0.0,58.3,0.098,91.6,0.048,0.1,0.002,0.092,0.07,6.2,0.9,0.5,1.4,0.065,1.2,0.066,48.8,0.0,1.2,34.5,0.005,263.0,424.8,0.053,0.6,78.949,83.64,16.36,0.0,1.39,41.5,High_Protein
lingcod raw,213.0,2.7,0.5,0.9,0.8,0.0,0.0,44.2,0.0,130.0,0.1,202.6,0.079,0.067,0.04,0.093,0.3,4.8,1.9,0.8,0.0,0.0,0.0,0.0,35.0,0.024,0.8,65.0,0.035,502.5,1092.5,0.025,1.1,82.778,94.24,5.76,0.0,2.13,85.7,High_Protein
cisco raw,77.0,1.5,0.3,0.4,0.5,0.0,0.0,15.0,0.0,39.5,0.042,62.4,0.022,0.098,0.016,0.023,0.024,2.0,0.6,0.2,0.0,0.0,0.0,0.0,9.5,0.029,0.3,13.4,0.019,120.1,279.7,0.08,0.3,26.367,90.91,9.09,0.0,0.77,28.5,High_Protein
florida pompano cooked,186.0,10.7,4.0,2.9,1.3,0.0,0.0,20.8,0.0,56.3,0.05,55.4,0.025,0.6,0.055,0.006,0.1,3.3,0.8,0.2,0.0,0.0,0.0,0.0,37.8,0.087,0.6,27.3,0.023,300.1,559.7,0.089,0.6,69.911,66.03,33.97,0.0,1.86,30.9,High_Protein
snapper raw,218.0,2.9,0.6,0.5,1.0,0.0,0.0,44.7,0.0,80.7,0.1,167.6,0.01,0.1,0.028,0.06,0.049,0.6,1.6,0.9,3.5,0.054,2.1,0.098,69.8,0.055,0.4,69.8,0.072,431.6,909.1,0.065,0.8,121.32,93.91,6.09,0.0,2.18,86.5,High_Protein
haddock raw,143.0,0.9,0.2,0.1,0.3,0.0,0.0,31.5,0.0,104.2,0.4,160.9,0.098,0.01,0.005,0.012,0.1,6.5,0.8,0.5,0.0,0.025,0.9,0.079,21.2,0.034,0.3,40.5,0.051,438.1,552.0,0.025,0.6,53.952,97.22,2.78,0.0,1.43,62.1,High_Protein
cod cooked,189.0,1.5,0.3,0.2,0.5,0.0,0.0,41.1,0.0,99.0,0.1,136.7,0.077,0.2,0.024,0.071,0.1,4.5,0.3,0.5,1.8,0.097,1.5,0.028,25.2,0.01,0.9,75.6,0.016,248.4,439.2,0.09,1.0,70.534,96.48,3.52,0.0,1.89,80.7,High_Protein
seatrout raw,248.0,8.6,2.4,2.1,1.7,0.0,0.0,39.8,0.0,197.5,0.1,185.9,0.056,0.1,0.085,0.083,0.4,5.7,1.8,1.0,0.0,0.0,0.0,0.0,40.5,0.082,0.6,73.8,0.007,595.0,811.6,0.029,1.1,89.528,82.23,17.77,0.0,2.48,71.0,High_Protein
flounder raw,114.0,3.1,0.7,0.9,0.6,0.0,0.0,20.2,0.0,73.4,0.5,137.9,0.036,0.053,0.048,0.072,0.091,1.7,0.3,0.2,0.0,0.059,1.0,0.074,34.2,0.038,0.3,29.3,0.074,410.8,260.8,0.014,0.5,57.837,86.7,13.3,0.0,1.14,37.3,High_Protein
spot cooked,79.0,3.1,0.9,0.9,0.7,0.0,0.0,11.9,0.0,38.5,0.022,34.6,0.051,0.051,0.036,0.093,0.1,4.3,0.4,0.2,0.0,0.0,0.0,0.0,9.0,0.025,0.2,27.0,0.098,119.0,318.0,0.029,0.3,24.239,79.33,20.67,0.0,0.79,20.7,High_Protein
walleye pike cooked,148.0,1.9,0.4,0.5,0.7,0.0,0.0,30.4,0.0,136.4,0.069,91.1,0.085,0.4,0.032,0.047,0.2,3.5,1.1,0.2,0.0,0.0,0.0,0.0,174.8,0.3,2.1,47.1,1.3,333.6,618.8,0.073,1.0,209.213,94.12,5.88,0.0,1.48,58.9,High_Protein
perch raw,55.0,0.6,0.1,0.081,0.2,0.0,0.0,11.6,0.0,54.0,0.037,47.5,0.052,0.03,0.041,0.034,0.001,0.9,0.5,0.091,1.0,0.084,0.1,0.092,48.0,0.077,0.5,18.0,0.4,120.0,161.4,0.031,0.7,61.715,95.08,4.92,0.0,0.55,22.6,High_Protein
mackerel cooked,231.0,15.7,3.7,6.2,3.8,0.0,0.0,21.0,0.0,66.0,0.064,46.9,0.065,0.1,0.014,0.097,0.4,6.0,0.9,0.4,0.4,0.0,0.0,0.0,13.2,0.086,1.4,85.4,0.008,244.6,352.9,0.038,0.8,51.733,57.22,42.78,0.0,2.31,26.3,High_Protein
tilapia cooked,111.0,2.3,0.8,0.8,0.5,0.0,0.0,22.8,0.0,49.6,0.011,62.3,0.0,0.021,0.006,0.037,0.072,4.1,0.6,0.1,0.0,0.013,0.7,0.053,12.2,0.049,0.6,29.6,0.083,177.5,330.6,0.034,0.4,37.9,90.84,9.16,0.0,1.11,43.3,High_Protein
drum raw,236.0,9.8,2.2,4.3,2.3,0.0,0.0,34.7,0.0,126.7,0.1,153.1,0.1,0.1,0.07,0.03,0.3,4.7,1.5,0.6,2.0,0.0,0.0,0.0,118.8,0.5,1.8,59.4,1.4,356.4,544.5,0.071,1.3,167.2,77.98,22.02,0.0,2.36,59.6,High_Protein
atlantic croaker fried,192.0,11.0,3.0,4.6,2.5,6.6,0.0,15.8,0.3,73.1,0.3,52.0,0.004,0.006,0.044,0.032,0.1,3.7,0.6,0.2,0.0,0.0,0.0,0.0,27.8,0.096,0.7,36.5,0.079,188.8,295.8,0.038,0.5,62.209,47.31,32.93,19.76,1.92,21.05,High_Protein
wolffish raw,294.0,7.3,1.1,2.6,2.6,0.0,0.0,53.6,0.0,140.8,0.3,244.5,0.3,0.6,0.062,0.074,0.2,6.5,1.7,1.2,0.0,0.0,0.0,0.0,18.4,0.028,0.3,91.8,0.033,612.0,918.0,0.1,2.4,79.9,88.01,11.99,0.0,2.94,99.9,High_Protein
bluefin tuna cooked,276.0,9.4,2.4,3.1,2.8,0.0,0.0,44.9,0.0,73.5,0.02,88.6,1.1,0.4,0.034,0.062,0.5,15.8,2.1,0.8,0.0,0.0,0.0,0.0,15.0,0.2,2.0,96.0,0.028,489.0,484.5,0.036,1.2,72.4,82.69,17.31,0.0,2.76,80.4,High_Protein
scup cooked,68.0,1.8,0.0,0.0,0.0,0.0,0.0,12.1,0.0,33.5,0.061,34.2,0.093,0.004,0.051,0.037,0.044,2.5,0.4,0.2,0.0,0.0,0.0,0.0,25.5,0.078,0.3,14.5,0.034,118.5,184.0,0.015,0.3,39.718,87.05,12.95,0.0,0.68,22.4,High_Protein
herring cooked,290.0,16.6,3.7,6.8,3.9,0.0,0.0,32.9,0.0,110.1,0.2,91.7,0.076,0.2,0.067,0.06,0.4,5.9,1.1,0.5,1.0,0.0,2.0,0.074,105.8,0.2,2.0,58.6,0.082,433.3,599.2,0.066,1.8,158.304,66.46,33.54,0.0,2.9,49.2,High_Protein
bluefish raw,186.0,6.4,1.4,2.7,1.6,0.0,0.0,30.1,0.0,88.5,0.028,106.3,0.2,0.033,0.051,0.032,0.1,8.9,1.2,0.6,0.0,0.0,0.0,0.0,10.5,0.042,0.7,49.5,0.057,340.5,558.0,0.083,1.2,47.9,82.47,17.53,0.0,1.86,53.8,High_Protein
sheepshead cooked,234.0,3.0,0.7,0.7,0.7,0.0,0.0,48.4,0.0,119.0,0.1,128.4,0.069,0.061,0.058,0.062,0.089,3.3,1.6,0.7,0.0,0.0,0.0,0.0,68.8,0.2,1.2,65.1,0.085,651.0,952.3,0.065,1.2,121.48,94.16,5.84,0.0,2.34,93.8,High_Protein
bass cooked,91.0,2.9,0.6,1.1,0.8,0.0,0.0,15.0,0.0,53.9,0.078,42.6,0.073,0.081,0.085,0.002,0.009,0.9,0.5,0.023,1.3,0.0,0.0,0.0,63.9,0.047,1.2,23.6,0.7,158.7,282.7,0.026,0.5,84.379,83.8,16.2,0.0,0.91,27.1,High_Protein
pout cooked,279.0,3.2,1.1,1.2,0.1,0.0,0.0,58.4,0.0,183.6,0.2,208.5,0.062,0.3,0.077,0.017,0.2,7.0,0.5,0.8,0.0,0.0,0.0,0.0,35.6,0.1,1.0,46.6,0.022,701.4,1405.6,0.1,3.6,98.207,94.81,5.19,0.0,2.79,113.6,High_Protein
rockfish raw,172.0,2.6,0.7,0.7,0.8,0.0,0.0,35.1,0.0,95.5,0.1,151.0,0.007,0.039,0.045,0.092,0.4,4.6,0.6,0.4,0.0,0.027,0.7,0.0,26.7,0.021,0.6,51.6,0.064,391.6,737.3,0.1,0.7,65.002,93.1,6.9,0.0,1.72,67.6,High_Protein
scup raw,174.0,4.5,1.1,0.9,1.7,0.0,0.0,31.3,0.0,86.3,0.082,125.1,0.037,0.2,0.02,0.014,0.2,6.8,1.2,0.5,0.0,0.077,0.8,0.001,66.4,0.008,0.9,38.2,0.086,307.1,476.4,0.09,0.8,103.111,87.43,12.57,0.0,1.74,58.1,High_Protein
coho salmon cooked,255.0,11.8,2.8,5.2,2.8,0.0,0.0,34.7,0.0,90.1,0.06,95.8,0.063,0.1,0.064,0.086,0.2,10.6,1.8,0.8,2.1,0.0,0.0,0.0,17.2,0.1,0.6,48.6,0.056,474.8,657.8,0.081,0.7,66.478,74.62,25.38,0.0,2.55,57.6,High_Protein
sea bass raw,125.0,2.6,0.7,0.5,1.0,0.0,0.0,23.8,0.0,52.9,0.084,101.0,0.001,0.1,0.079,0.064,0.2,2.1,1.0,0.5,0.0,0.071,1.1,0.091,12.9,0.079,0.4,52.9,0.09,250.3,330.2,0.082,0.5,39.739,90.15,9.85,0.0,1.25,45.0,High_Protein
whitefish raw,265.0,11.6,1.8,4.0,4.3,0.0,0.0,37.8,0.0,118.8,0.1,144.1,0.092,0.3,0.089,0.095,0.2,5.9,1.5,0.6,0.0,0.095,0.4,0.061,51.5,0.1,0.7,65.3,0.1,534.6,627.7,0.059,2.0,101.603,76.52,23.48,0.0,2.65,64.0,High_Protein
mullet cooked,140.0,4.5,1.3,1.3,0.9,0.0,0.0,23.1,0.0,58.6,0.001,65.6,0.053,0.022,0.034,0.084,0.09,5.9,0.8,0.5,1.1,0.0,0.0,0.0,28.8,0.1,1.3,30.7,0.048,226.9,425.9,0.027,0.8,58.866,83.7,16.3,0.0,1.4,41.7,High_Protein
sea bass cooked,125.0,2.6,0.7,0.5,1.0,0.0,0.0,23.9,0.0,53.5,0.058,72.9,0.053,0.1,0.048,0.046,0.2,1.9,0.9,0.5,0.0,0.0,0.0,0.0,13.1,0.046,0.4,53.5,0.056,250.5,331.3,0.023,0.5,40.067,90.19,9.81,0.0,1.25,45.2,High_Protein
sturgeon cooked,184.0,7.0,1.6,3.4,1.2,0.0,0.0,28.2,0.0,104.7,0.019,95.1,0.4,0.1,0.072,0.087,0.1,13.7,1.2,0.3,0.0,0.073,0.9,0.039,23.1,0.054,1.2,61.2,0.038,368.6,495.0,0.044,0.7,59.9,80.11,19.89,0.0,1.84,49.4,High_Protein
fish fillet fried,211.0,11.2,2.6,2.3,5.7,15.4,0.0,13.3,0.5,30.9,0.5,48.7,0.095,0.043,0.05,0.054,0.089,1.9,0.2,0.066,0.0,0.0,0.0,0.0,16.4,0.003,1.9,21.8,0.2,155.6,291.2,0.035,0.4,58.716,33.33,28.07,38.6,2.11,16.15,Balanced
rainbow trout raw,111.0,4.9,1.1,1.6,1.2,0.0,0.0,15.8,0.0,46.6,0.022,58.3,0.044,0.032,0.056,0.057,0.091,4.4,1.3,0.3,2.3,0.056,1.8,0.094,19.8,0.096,0.2,19.8,0.008,178.5,297.8,0.067,0.4,43.047,76.33,23.67,0.0,1.11,26.7,High_Protein
pout raw,278.0,3.2,1.1,1.2,0.1,0.0,0.0,58.6,0.0,183.0,0.2,286.4,0.032,0.3,0.022,0.021,0.2,7.4,0.5,0.8,0.0,0.0,0.0,0.0,35.2,0.1,1.0,45.8,0.003,704.0,1408.0,0.1,3.6,98.078,94.82,5.18,0.0,2.78,114.0,High_Protein
