food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Protein_ratio,Fat_ratio,Carbohydrates_ratio,Calorie_Density,Health_Score,Food_Category
ham raw,266.0,18.2,6.0,8.7,2.1,0.046,0.0,23.8,0.0,54.6,1.5,93.2,0.0,1.3,0.021,0.034,0.3,4.5,0.6,0.7,0.0,0.054,0.3,0.0,8.4,0.075,1.2,19.6,0.063,245.0,442.4,0.065,2.3,51.697,56.6,43.29,0.11,2.66,29.4,High_Protein
pork skin,154.0,8.9,3.2,4.2,1.0,0.0,0.0,17.3,0.0,26.9,0.5,0.5,0.037,0.009,0.0,0.036,0.034,0.4,0.1,0.096,0.1,0.0,0.1,0.0,8.5,0.033,0.2,3.1,0.066,24.1,35.9,0.062,0.2,35.03,66.03,33.97,0.0,1.54,25.7,High_Protein
pork country style ribs cooked,235.0,15.2,5.4,6.6,1.8,0.0,0.0,22.8,0.0,88.6,0.049,46.4,0.098,0.4,0.0,0.016,0.2,4.8,1.2,0.4,0.0,0.09,0.1,0.0,29.2,0.072,1.2,19.8,0.025,173.7,247.7,0.026,3.6,68.402,60.0,40.0,0.0,2.35,30.4,High_Protein
pork tenderloin cooked,153.0,6.2,2.2,2.5,0.6,0.0,0.0,22.7,0.0,71.4,0.091,46.4,0.017,0.7,0.051,0.014,0.3,3.8,0.7,0.4,0.8,0.0,0.0,0.0,3.8,0.045,1.1,26.6,0.072,220.4,337.4,0.082,2.2,34.679,78.55,21.45,0.0,1.53,39.2,High_Protein
pork loin cooked,213.0,12.1,4.5,5.4,1.0,0.0,0.0,24.2,0.0,71.2,0.077,51.9,0.008,0.6,0.066,0.024,0.2,3.9,0.6,0.3,0.5,0.007,0.2,0.0,18.7,0.006,1.0,16.9,0.033,161.1,332.9,0.02,2.1,56.575,66.67,33.33,0.0,2.13,36.3,High_Protein
pork ears cooked,184.0,12.0,4.3,5.5,1.3,0.2,0.0,17.7,0.0,99.9,0.2,80.6,0.0,0.004,0.0,0.0,0.07,0.6,0.051,0.066,0.0,0.0,0.0,0.0,20.0,0.086,1.7,7.8,0.086,26.6,44.4,0.044,0.2,51.6,59.2,40.13,0.67,1.84,23.4,High_Protein
ground turkey raw,169.0,8.7,2.3,3.0,2.5,0.0,0.0,22.4,0.0,78.7,0.047,82.5,0.041,0.037,0.073,0.08,0.2,7.7,1.1,0.6,0.0,0.086,0.1,0.0,21.7,0.1,1.2,26.2,0.096,228.0,270.2,0.025,2.7,54.095,72.03,27.97,0.0,1.69,36.1,High_Protein
turkey roast roasted,209.0,7.8,2.6,1.6,2.2,4.1,0.0,28.8,0.0,71.6,0.9,91.6,0.0,0.058,0.054,0.079,0.2,8.5,1.1,0.4,0.0,0.084,0.5,0.09,6.8,0.037,2.2,29.7,0.066,329.4,402.3,0.081,3.4,49.7,70.76,19.16,10.07,2.09,49.8,High_Protein
turkey taco meat cooked,271.0,13.9,3.2,4.7,3.9,5.5,0.0,30.7,0.0,129.9,1.2,128.1,0.0,0.1,0.051,0.062,0.6,5.5,1.1,0.5,0.0,0.0,0.5,0.089,126.3,0.072,3.3,49.4,0.3,329.4,543.5,0.067,4.6,179.7,61.28,27.74,10.98,2.71,47.5,High_Protein
chicken drumstick fried,193.0,11.3,3.0,4.6,2.7,6.0,0.0,15.8,0.2,61.9,0.2,38.0,0.028,0.049,0.065,0.061,0.2,3.7,1.2,0.2,0.0,0.0,0.0,0.0,12.2,0.063,1.0,14.4,0.004,105.8,133.9,0.018,1.7,46.519,47.73,34.14,18.13,1.93,20.6,High_Protein
chicken wing roasted,216.0,14.3,4.2,6.6,3.1,0.0,0.0,20.2,0.0,119.9,0.039,50.5,0.073,0.017,0.005,0.069,0.08,0.1,5.4,0.8,0.5,0.0,0.094,0.6,0.024,15.3,0.092,0.7,16.2,0.095,125.0,180.2,0.032,35.155,58.55,41.45,0.0,2.16,26.1,High_Protein
chicken breast cooked,114.0,4.5,1.3,1.8,1.0,0.0,0.0,17.3,0.0,48.7,0.058,36.2,0.08,0.018,0.092,0.074,0.056,7.4,0.5,0.3,0.0,0.019,0.2,0.004,8.1,0.012,0.6,15.7,0.024,124.1,142.1,0.046,0.6,30.552,79.36,20.64,0.0,1.14,30.1,High_Protein
chicken drumstick raw,211.0,12.4,3.3,4.9,2.6,0.1,0.0,23.4,0.0,122.4,0.1,96.4,0.067,0.1,0.039,0.042,0.2,6.4,1.4,0.4,0.0,0.044,0.3,0.007,13.3,0.039,0.8,26.6,0.064,220.8,296.6,0.063,2.6,50.075,65.18,34.54,0.28,2.11,34.4,High_Protein
turkey meat roasted,284.0,11.1,3.2,4.0,3.2,0.031,0.0,42.8,0.0,163.5,0.2,95.3,0.004,0.073,0.083,0.019,0.4,14.4,1.4,0.9,0.0,0.091,0.1,0.0,21.0,0.1,1.6,45.0,0.053,334.5,358.5,0.022,3.7,76.629,79.36,20.58,0.06,2.84,74.5,High_Protein
chicken breast raw,299.0,16.1,4.6,6.6,3.4,0.0,0.0,36.3,0.0,111.4,0.1,120.9,0.026,0.1,0.082,0.057,0.1,17.2,1.4,0.9,0.0,0.053,0.5,0.0,19.1,0.003,1.3,43.5,0.017,302.8,382.8,0.029,1.4,72.834,69.27,30.73,0.0,2.99,56.5,High_Protein
